company_name,ratings,reviews,company_type,Employee,Headquarters
KPIT Technologies,3.6,2.4k,Software Product,5k-10k Employees,Pune +32 more
PepsiCo,4.2,2.3k,Food Processing,1 Lakh+ Employees,Harrison +232 more
UPL,4.2,2.3k,Agro Chemicals,5k-10k Employees,Mumbai +160 more
S&P Global,4.2,2.3k,Analytics & KPO,10k-50k Employees,New York City +24 more
Torrent Pharmaceuticals,4.0,2.3k,Pharma,10k-50k Employees,Ahmedabad +101 more
Dilip Buildcon,4.1,2.3k,Engineering & Construction,10k-50k Employees,Bhopal +192 more
RSPL Group,4.2,2.3k,FMCG,10k-50k Employees,Mumbai +207 more
Tech Mahindra Business Services,3.5,2.3k,BPO,5k-10k Employees,Mumbai +49 more
Square Yards,3.8,2.3k,Internet,1k-5k Employees,Gurgaon +43 more
Titan Company,4.4,2.3k,Retail,5k-10k Employees,Bangalore +145 more
TVS Credit,4.5,2.3k,NBFC,10k-50k Employees,Chennai +315 more
Wipro Enterprises Ltd,3.9,2.3k,IT Services & Consulting,501-1k Employees,Bangalore +104 more
Tata AIG,4.2,2.3k,Insurance,5k-10k Employees,Mumbai +223 more
EY Global Delivery Services ( EY GDS),3.7,2.3k,Accounting & Auditing,50k-1 Lakh Employees,Bangalore/Bengaluru +38 more
IDFC FIRST Bharat,4.6,2.3k,NBFC,10k-50k Employees,Tiruchirappalli +307 more
Aditya Birla Sun Life Insurance,4.2,2.3k,Insurance,10k-50k Employees,Mumbai +378 more
Bajaj Electricals,4.1,2.2k,Consumer Electronics & Appliances,1k-5k Employees,Mumbai +200 more
Alstom Transportation,3.9,2.2k,Urban Transport,5k-10k Employees,Saint-Ouen +67 more
Statestreet HCL Services,3.3,2.2k,BPO,5k-10k Employees,New Delhi +16 more
IGT Solutions,3.4,2.3k,BPO,5k-10k Employees,Gurgaon/Gurugram +33 more
Afcons Infrastructure,4.4,2.2k,Engineering & Construction,5k-10k Employees,Mumbai +100 more
Apollo Tyres,4.1,2.2k,Auto Components,5k-10k Employees,Gurgaon/Gurugram +152 more
Mankind Pharma,4.2,2.2k,Pharma,10k-50k Employees,New Delhi +197 more
Simplex Infrastructures,3.3,2.1k,Engineering & Construction,1k-5k Employees,Kolkata +133 more
Domino's Pizza,4.0,2.2k,Hospitality,1k-5k Employees,Ypsilanti +220 more
Suzlon Group,4.2,2.1k,Power,5k-10k Employees,Pune +109 more
Capita,3.8,2.2k,IT Services & Consulting,5k-10k Employees,Indore +24 more
Zensar Technologies,3.8,2.2k,IT Services & Consulting,5k-10k Employees,Pune +22 more
Flex,4.1,2.2k,Logistics,5k-10k Employees,San Jose +39 more
State Street Corporation,3.9,2.2k,Financial Services,10k-50k Employees,Boston +20 more
Max Healthcare,4.1,2.1k,Healthcare,1k-5k Employees,Delhi/NCR +59 more
KocharTech,4.1,2.1k,IT Services & Consulting,1k-5k Employees,Gurgaon/Gurugram +24 more
Huawei Technologies,4.0,2.1k,Telecom,51-200 Employees,Gurgaon/Gurugram +99 more
Bajaj Allianz General Insurance,4.0,2.1k,Insurance,5k-10k Employees,Pune +219 more
Tata Technologies,3.8,2.1k,Engineering & Construction,5k-10k Employees,Singapore +40 more
Croma,4.1,2.2k,Retail,5k-10k Employees,Mumbai +147 more
I Process Services,3.9,2.1k,Recruitment,1k-5k Employees,Mumbai +308 more
McDonald's,4.2,2.1k,Hospitality,1k-5k Employees,Chicago +138 more
Taj Hotels Resorts and Palaces,4.2,2.1k,Hospitality,10k-50k Employees,Mumbai +93 more
Grasim Industries,4.1,2.1k,Building Material,10k-50k Employees,Nagda +115 more
HDFC Sales,4.1,2.1k,Financial Services,10k-50k Employees,Mumbai +283 more
Nestle,4.1,2.1k,Food Processing,5k-10k Employees,Vevey +235 more
ElasticRun,3.4,2.1k,Logistics,1k-5k Employees,Pune +347 more
UNO Minda,4.1,2.1k,Auto Components,201-500 Employees,Gurgaon +88 more
Landmark Group,4.1,2.1k,Retail,1k-5k Employees,Dubai Marina +139 more
Walmart,4.0,2.1k,Retail,5k-10k Employees,Bangalore/Bengaluru +79 more
AGS Health,4.0,2.1k,BPO,10k-50k Employees,Washington DC +39 more
Lava International,4.1,2k,Consumer Electronics & Appliances,1k-5k Employees,Noida +212 more
Nokia,4.2,2.1k,Telecom,10k-50k Employees,Espoo +152 more
